small,rfam_id
RNaseP_bact_a,RF00010
RNaseP_bact_b,RF00011
6S,RF00013
CsrB,RF00018
tmRNA,RF00023
Intron_gpI,RF00028
FMN,RF00050
TPP,RF00059
yybP-ykoY,RF00080
SraG,RF00082
GlmZ_SraJ,RF00083
CsrC,RF00084
GlmY_tke1,RF00128
Alpha_RBS,RF00140
SAM,RF00162
Purine,RF00167
Lysine,RF00168
Bacteria_small_SRP,RF00169
T-box,RF00230
glmS,RF00234
ydaO-yuaA,RF00379
ykkC-yxkD,RF00442
Glycine,RF00504
L10_leader,RF00557
L20_leader,RF00558
L21_leader,RF00559
c-di-GMP-I,RF01051
CRISPR-DR4,RF01317
BsrC,RF01410
BsrF,RF01411
rliI,RF01487
rliD,RF01494
pan,RF01749
cspA,RF01766
c-di-GMP-II,RF01786
sok,RF01794
Bacteria_large_SRP,RF01854
Archaea_SRP,RF01857
HEARO,RF02033
EF0820_EF0821,RF02635
Ysr141,RF02675
NiCo,RF02683
AsrC,RF02746
V_AS7,RF02819
Ysr197,RF02849
NiCo-AnGGAG,RF03164
2dG-II,RF03165
glycine-GGAnGA,RF03166
c-di-GMP-I-GGC,RF03167
c-di-GMP-I-UAU,RF03168
mir-627,RF03831
