#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
E_sibiricum_255-15        -         RNaseP_bact_a        RF00010    cm        1      367  1294205  1294594      +    no    1 0.51   0.0   64.2   1.5e-17 !   -
E_antarcticum_dsm14480    -         RNaseP_bact_a        RF00010    cm        1      367    99394    99005      -    no    1 0.51   0.0   64.2   1.5e-17 !   -
E_enclense_NIO-1109       -         RNaseP_bact_a        RF00010    cm        1      367  1876164  1876553      +    no    1 0.51   0.1   63.3     3e-17 !   -
E_sp_ZWU0009_fita         -         RNaseP_bact_a        RF00010    cm        1      367  1332740  1333129      +    no    1 0.52   0.1   63.3     3e-17 !   -
E_acetylicum_DSM_20416    -         RNaseP_bact_a        RF00010    cm        1      367   862569   862958      +    no    1 0.52   0.1   63.3     3e-17 !   -
E_sp_U13-1                -         RNaseP_bact_a        RF00010    cm        1      367  1754394  1754783      +    no    1 0.51   0.0   63.1   3.4e-17 !   -
E_indicum_HHS_31          -         RNaseP_bact_a        RF00010    cm        1      367   915479   915868      +    no    1 0.51   0.0   63.1   3.4e-17 !   -
E_sp_MH3                  -         RNaseP_bact_a        RF00010    cm        1      367  1265107  1265496      +    no    1 0.51   0.1   62.1   7.4e-17 !   -
Eaurantiacum              -         RNaseP_bact_a        RF00010    cm        1      367  1837111  1837493      +    no    1 0.54   0.1   61.1   1.6e-16 !   -
E_marinum_DSM_16307       -         RNaseP_bact_a        RF00010    cm        1      367  1730049  1730431      +    no    1 0.51   0.0   61.0   1.7e-16 !   -
Echiriqhuca               -         RNaseP_bact_a        RF00010    cm        1      367  1308303  1308685      +    no    1 0.53   0.0   60.6   2.4e-16 !   -
Emexicanum                -         RNaseP_bact_a        RF00010    cm        1      367   881827   881445      -    no    1 0.53   0.0   60.6   2.4e-16 !   -
E_oxidotolerans_JCM_12280 -         RNaseP_bact_a        RF00010    cm        1      367  2912976  2913365      +    no    1 0.52   0.0   60.4   2.7e-16 !   -
E_sp_AT1b                 -         RNaseP_bact_a        RF00010    cm        1      367   288709   288327      -    no    1 0.53   0.0   60.4   2.7e-16 !   -
E_profundum_PHM_11        -         RNaseP_bact_a        RF00010    cm        1      367  1796026  1796408      +    no    1 0.52   0.0   60.2   3.2e-16 !   -
Ealkaliphilum_12_1        -         RNaseP_bact_a        RF00010    cm        1      367   545635   546017      +    no    1 0.55   0.2   60.1   3.4e-16 !   -
E_sibiricum_255-15        -         RNaseP_bact_b        RF00011    cm        1      366  1294210  1294583      +    no    1 0.51   0.0  315.7   1.1e-91 !   -
E_antarcticum_dsm14480    -         RNaseP_bact_b        RF00011    cm        1      366    99389    99016      -    no    1 0.51   0.0  315.7   1.1e-91 !   -
E_sp_U13-1                -         RNaseP_bact_b        RF00011    cm        1      366  1754399  1754772      +    no    1 0.52   0.1  314.5   2.6e-91 !   -
E_indicum_HHS_31          -         RNaseP_bact_b        RF00011    cm        1      366   915484   915857      +    no    1 0.52   0.1  314.5   2.6e-91 !   -
E_sp_MH3                  -         RNaseP_bact_b        RF00011    cm        1      366  1265112  1265485      +    no    1 0.51   0.1  313.5   5.1e-91 !   -
E_enclense_NIO-1109       -         RNaseP_bact_b        RF00011    cm        1      366  1876169  1876542      +    no    1 0.52   0.1  312.6   9.8e-91 !   -
E_sp_ZWU0009_fita         -         RNaseP_bact_b        RF00011    cm        1      366  1332745  1333118      +    no    1 0.52   0.2  312.5     1e-90 !   -
E_acetylicum_DSM_20416    -         RNaseP_bact_b        RF00011    cm        1      366   862574   862947      +    no    1 0.52   0.2  312.5     1e-90 !   -
E_marinum_DSM_16307       -         RNaseP_bact_b        RF00011    cm        1      366  1730053  1730420      +    no    1 0.52   0.1  312.2   1.3e-90 !   -
Ealkaliphilum_12_1        -         RNaseP_bact_b        RF00011    cm        1      366   545639   546006      +    no    1 0.55   0.4  310.2   5.1e-90 !   -
E_oxidotolerans_JCM_12280 -         RNaseP_bact_b        RF00011    cm        1      366  2912981  2913354      +    no    1 0.52   0.0  309.8   6.6e-90 !   -
Echiriqhuca               -         RNaseP_bact_b        RF00011    cm        1      366  1308307  1308674      +    no    1 0.54   0.1  309.4     9e-90 !   -
Emexicanum                -         RNaseP_bact_b        RF00011    cm        1      366   881823   881456      -    no    1 0.54   0.1  309.4     9e-90 !   -
E_sp_AT1b                 -         RNaseP_bact_b        RF00011    cm        1      366   288705   288338      -    no    1 0.54   0.1  309.0   1.2e-89 !   -
E_profundum_PHM_11        -         RNaseP_bact_b        RF00011    cm        1      366  1796030  1796397      +    no    1 0.53   0.0  308.1   2.3e-89 !   -
Eaurantiacum              -         RNaseP_bact_b        RF00011    cm        1      366  1837115  1837482      +    no    1 0.55   0.3  305.5   1.4e-88 !   -
E_antarcticum_dsm14480    -         6S                   RF00013    cm        1      188   526976   526787      -    no    1 0.49   0.0   86.0   8.2e-17 !   -
E_sp_AT1b                 -         6S                   RF00013    cm        1      188  2683502  2683688      +    no    1 0.55   0.0   84.7   1.7e-16 !   -
E_marinum_DSM_16307       -         6S                   RF00013    cm        1      188  2258290  2258104      -    no    1 0.55   0.0   84.7   1.7e-16 !   -
Emexicanum                -         6S                   RF00013    cm        1      188   281963   282149      +    no    1 0.55   0.0   84.6   1.7e-16 !   -
E_oxidotolerans_JCM_12280 -         6S                   RF00013    cm        1      188   596083   595894      -    no    1 0.48   0.0   84.5   1.8e-16 !   -
Echiriqhuca               -         6S                   RF00013    cm        1      188  1913650  1913464      -    no    1 0.55   0.0   84.5   1.8e-16 !   -
Ealkaliphilum_12_1        -         6S                   RF00013    cm        1      188  2685997  2686183      +    no    1 0.56   0.0   84.1   2.4e-16 !   -
E_profundum_PHM_11        -         6S                   RF00013    cm        1      188  2338157  2337971      -    no    1 0.54   0.0   83.8   2.8e-16 !   -
E_sp_MH3                  -         6S                   RF00013    cm        1      188  2141408  2141219      -    no    1 0.48   0.0   83.8   2.9e-16 !   -
E_sp_U13-1                -         6S                   RF00013    cm        1      188  2631645  2631456      -    no    1 0.48   0.0   83.8   2.9e-16 !   -
E_sp_ZWU0009_fita         -         6S                   RF00013    cm        1      188  2233573  2233384      -    no    1 0.48   0.0   83.8   2.9e-16 !   -
E_enclense_NIO-1109       -         6S                   RF00013    cm        1      188   746660   746849      +    no    1 0.48   0.0   83.8   2.9e-16 !   -
E_indicum_HHS_31          -         6S                   RF00013    cm        1      188  1749060  1748871      -    no    1 0.48   0.0   83.8   2.9e-16 !   -
E_sibiricum_255-15        -         6S                   RF00013    cm        1      188  2035882  2035693      -    no    1 0.49   0.0   83.1     4e-16 !   -
Eaurantiacum              -         6S                   RF00013    cm        1      188  2410524  2410338      -    no    1 0.56   0.0   83.1   4.1e-16 !   -
E_acetylicum_DSM_20416    -         6S                   RF00013    cm        1      188  1734283  1734094      -    no    1 0.48   0.0   80.6   1.7e-15 !   -
E_profundum_PHM_11   -         CsrB                 RF00018    cm        1      356     1529     1837      +    no    1 0.54   1.9  237.7   1.2e-67 !   -
E_marinum_DSM_16307       -         tmRNA                RF00023    cm        1      354  1231118  1231473      +    no    1 0.53   0.0  166.7   2.8e-47 !   -
E_sp_AT1b                 -         tmRNA                RF00023    cm        1      354   803204   802849      -    no    1 0.53   0.0  166.2   3.9e-47 !   -
E_profundum_PHM_11        -         tmRNA                RF00023    cm        1      354  1274896  1275251      +    no    1 0.53   0.0  166.2   3.9e-47 !   -
Echiriqhuca               -         tmRNA                RF00023    cm        1      354   813715   814070      +    no    1 0.53   0.0  164.6   1.2e-46 !   -
Emexicanum                -         tmRNA                RF00023    cm        1      354  1369369  1369014      -    no    1 0.53   0.0  164.6   1.2e-46 !   -
Eaurantiacum              -         tmRNA                RF00023    cm        1      354  1345260  1345615      +    no    1 0.54   0.0  164.6   1.3e-46 !   -
Ealkaliphilum_12_1        -         tmRNA                RF00023    cm        1      354  1283853  1284208      +    no    1 0.53   0.0  164.1   1.8e-46 !   -
Ealkaliphilum_12_1        -         tmRNA                RF00023    cm        1      354  3102172  3102527      +    no    1 0.53   0.0  164.1   1.8e-46 !   -
E_sp_U13-1                -         tmRNA                RF00023    cm        1      354  2928239  2927881      -    no    1 0.54   0.0  155.1     1e-43 !   -
